Dust monitor control board firmware version,2.03
Live_AlarmThresh,100.000
TWA8hr_AlarmThresh,10.000
TWA15m_AlarmThresh,10.000
OPC-N2 176880705                                            
OPC-N2 FirmwareVer=OPC-018.2.TRX..........................BD
Gain scaling coeff,1.000
Init Sample Flow Rate (ml/s),3.700
Laser DAC setting,179
Fan DAC setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Volume of a particle in bin (um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
Density of a particle in bin (g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
Sample volume weighting for bin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Data:
DateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Checksum,PMr,AvgLongValue,AvgShortValue,LiveUnits,AvgShortUnits,AvgLongUnits,LogRate(s),Channel_1,Channel_2
15/7/18 0:0:14,0,0,1,5,3,1,2,0,0,0,0,0,0,0,0,0,0,38,21,0,1.013,3.700,12,11.724,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:0:26,0,0,0,11,1,4,1,0,0,0,0,0,0,0,0,0,0,53,57,0,1.013,3.700,17,13.251,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:0:37,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,9,9.548,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:0:48,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,53,64,0,1.013,3.700,14,8.112,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,1.014,3.700,9,6.480,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:11,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,57,48,0,1.013,3.700,6,6.589,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:22,0,0,0,12,1,0,1,0,1,0,0,0,0,0,0,0,0,54,0,0,1.013,3.700,15,16.595,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:34,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,1.013,3.700,10,12.254,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:45,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,40,40,0,1.013,3.700,5,3.142,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:1:56,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,39,50,0,1.013,3.700,12,6.731,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:2:8,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,53,55,0,1.013,3.700,12,8.288,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:2:19,0,0,0,6,1,3,0,0,0,0,1,0,0,0,0,0,0,36,54,0,1.013,3.700,11,13.696,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:2:30,0,0,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,33,17,29,1.013,3.700,10,14.154,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:2:42,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,47,85,0,1.013,3.700,6,4.144,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:2:53,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,1.013,3.700,11,8.174,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:3:4,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,55,47,0,1.013,3.700,9,8.037,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:3:16,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,1.013,3.700,11,6.426,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:3:27,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,1.013,3.700,9,11.874,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:3:38,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,48,33,0,1.013,3.700,8,7.970,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:3:49,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1.014,3.700,8,3.345,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1.014,3.700,4,1.829,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:12,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1.013,3.700,6,2.691,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:24,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,1.013,3.700,6,5.031,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:36,0,0,0,7,4,2,0,1,0,0,0,0,0,0,0,0,0,58,49,92,1.013,3.700,14,14.161,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:47,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,54,23,0,1.013,3.700,8,6.724,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:4:58,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,33,0,0,1.014,3.700,9,22.157,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:5:10,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,39,15,0,1.013,3.700,9,4.659,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:5:21,0,0,0,8,0,1,1,0,0,0,1,0,0,0,0,0,0,53,39,0,1.013,3.700,11,14.272,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:5:32,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,46,23,0,1.013,3.700,4,2.451,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:5:44,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,44,0,88,1.013,3.700,8,9.083,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:5:55,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,66,15,0,1.013,3.700,7,4.835,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:6:6,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,45,130,50,1.013,3.700,8,13.395,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:6:18,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,55,27,0,1.013,3.700,6,4.145,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:6:29,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,1.013,3.700,6,5.343,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:6:40,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,60,51,27,1.013,3.700,7,13.016,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:6:52,0,0,0,11,1,2,0,0,0,0,1,0,0,0,0,0,0,42,81,0,1.013,3.700,15,14.278,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:7:3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1.013,3.700,11,5.107,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:7:14,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1.013,3.700,8,3.657,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:7:26,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,55,48,0,1.013,3.700,11,5.729,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:7:37,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,47,0,0,1.013,3.700,10,10.239,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:7:48,0,0,0,12,3,2,0,0,0,0,0,0,0,0,0,0,0,51,56,0,1.014,3.700,17,9.250,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,50,40,0,1.013,3.700,12,7.976,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:11,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,1.013,3.700,9,6.169,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:22,0,0,0,7,2,2,2,0,0,0,0,0,0,0,0,0,0,46,35,0,1.014,3.700,13,12.933,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:34,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,70,47,0,1.013,3.700,5,2.830,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:46,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,39,17,0,1.013,3.700,11,5.729,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:8:57,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1.013,3.700,6,2.587,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:9:9,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1.013,3.700,11,5.107,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:9:20,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,62,76,0,1.013,3.700,6,3.521,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:9:31,0,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,65,83,0,1.013,3.700,7,20.905,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:9:42,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,34,55,0,1.013,3.700,6,3.521,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:9:54,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,56,55,0,1.013,3.700,6,7.211,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:10:5,0,0,0,7,3,4,1,0,0,0,0,0,0,0,0,0,0,61,29,0,1.013,3.700,15,13.116,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
15/7/18 0:10:16,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,56,55,0,1.013,3.700,9,5.905,0.017,0.009,ug/m3,mg/m3,mg/m3,10.000,Live,AvgShort,
