Data download from AQ England website
Status: P - Provisional data, P* - Ratified by Data Provider, R - Ratified Data,V - Validated,A - As supplied


Hourly Data,,Stockport Hazel Grove,,
End Date,End Time,PM10,Status/units,
01/07/2018,01:00:00,15.0,P ugm-3 (VCM),
01/07/2018,02:00:00,15.3,P ugm-3 (VCM),
01/07/2018,03:00:00,17.1,P ugm-3 (VCM),
01/07/2018,04:00:00,21.4,P ugm-3 (VCM),
01/07/2018,05:00:00,27.0,P ugm-3 (VCM),
01/07/2018,06:00:00,25.9,P ugm-3 (VCM),
01/07/2018,07:00:00,28.3,P ugm-3 (VCM),
01/07/2018,08:00:00,22.4,P ugm-3 (VCM),
01/07/2018,09:00:00,17.3,P ugm-3 (VCM),
01/07/2018,10:00:00,21.0,P ugm-3 (VCM),
01/07/2018,11:00:00,30.7,P ugm-3 (VCM),
01/07/2018,12:00:00,32.6,P ugm-3 (VCM),
01/07/2018,13:00:00,25.4,P ugm-3 (VCM),
01/07/2018,14:00:00,26.9,P ugm-3 (VCM),
01/07/2018,15:00:00,37.6,P ugm-3 (VCM),
01/07/2018,16:00:00,25.9,P ugm-3 (VCM),
01/07/2018,17:00:00,24.7,P ugm-3 (VCM),
01/07/2018,18:00:00,22.5,P ugm-3 (VCM),
01/07/2018,19:00:00,16.0,P ugm-3 (VCM),
01/07/2018,20:00:00,15.0,P ugm-3 (VCM),
01/07/2018,21:00:00,38.7,P ugm-3 (VCM),
01/07/2018,22:00:00,21.8,P ugm-3 (VCM),
01/07/2018,23:00:00,21.5,P ugm-3 (VCM),
01/07/2018,24:00:00,33.7,P ugm-3 (VCM),
02/07/2018,01:00:00,29.4,P ugm-3 (VCM),
02/07/2018,02:00:00,21.9,P ugm-3 (VCM),
02/07/2018,03:00:00,25.9,P ugm-3 (VCM),
02/07/2018,04:00:00,25.9,P ugm-3 (VCM),
02/07/2018,05:00:00,26.7,P ugm-3 (VCM),
02/07/2018,06:00:00,29.4,P ugm-3 (VCM),
02/07/2018,07:00:00,29.6,P ugm-3 (VCM),
02/07/2018,08:00:00,27.3,P ugm-3 (VCM),
02/07/2018,09:00:00,30.7,P ugm-3 (VCM),
02/07/2018,10:00:00,9.2,P ugm-3 (VCM),
02/07/2018,11:00:00,32.0,P ugm-3 (VCM),
02/07/2018,12:00:00,46.2,P ugm-3 (VCM),
02/07/2018,13:00:00,32.2,P ugm-3 (VCM),
02/07/2018,14:00:00,18.9,P ugm-3 (VCM),
02/07/2018,15:00:00,15.6,P ugm-3 (VCM),
02/07/2018,16:00:00,36.5,P ugm-3 (VCM),
02/07/2018,17:00:00,27.1,P ugm-3 (VCM),
02/07/2018,18:00:00,23.9,P ugm-3 (VCM),
02/07/2018,19:00:00,23.3,P ugm-3 (VCM),
02/07/2018,20:00:00,18.5,P ugm-3 (VCM),
02/07/2018,21:00:00,21.4,P ugm-3 (VCM),
02/07/2018,22:00:00,29.4,P ugm-3 (VCM),
02/07/2018,23:00:00,26.2,P ugm-3 (VCM),
02/07/2018,24:00:00,21.2,P ugm-3 (VCM),
03/07/2018,01:00:00,19.4,P ugm-3 (VCM),
03/07/2018,02:00:00,16.2,P ugm-3 (VCM),
