End Date,End Time,PM10
01/07/2018,01:00:00,15
01/07/2018,02:00:00,15.3
01/07/2018,03:00:00,17.1
01/07/2018,04:00:00,21.4
01/07/2018,05:00:00,27
01/07/2018,06:00:00,25.9
01/07/2018,07:00:00,28.3
01/07/2018,08:00:00,22.4
01/07/2018,09:00:00,17.3
01/07/2018,10:00:00,21
01/07/2018,11:00:00,30.7
01/07/2018,12:00:00,32.6
01/07/2018,13:00:00,25.4
01/07/2018,14:00:00,26.9
01/07/2018,15:00:00,37.6
01/07/2018,16:00:00,25.9
01/07/2018,17:00:00,24.7
01/07/2018,18:00:00,22.5
01/07/2018,19:00:00,16
01/07/2018,20:00:00,15
01/07/2018,21:00:00,38.7
01/07/2018,22:00:00,21.8
01/07/2018,23:00:00,21.5
01/07/2018,00:00:00,33.7
02/07/2018,01:00:00,29.4
02/07/2018,02:00:00,21.9
02/07/2018,03:00:00,25.9
02/07/2018,04:00:00,25.9
02/07/2018,05:00:00,26.7
02/07/2018,06:00:00,29.4
02/07/2018,07:00:00,29.6
02/07/2018,08:00:00,27.3
02/07/2018,09:00:00,30.7
02/07/2018,10:00:00,9.2
02/07/2018,11:00:00,32
02/07/2018,12:00:00,46.2
02/07/2018,13:00:00,32.2
02/07/2018,14:00:00,18.9
02/07/2018,15:00:00,15.6
02/07/2018,16:00:00,36.5
02/07/2018,17:00:00,27.1
02/07/2018,18:00:00,23.9
02/07/2018,19:00:00,23.3
02/07/2018,20:00:00,18.5
02/07/2018,21:00:00,21.4
02/07/2018,22:00:00,29.4
02/07/2018,23:00:00,26.2
02/07/2018,00:00:00,21.2
03/07/2018,01:00:00,19.4
03/07/2018,02:00:00,16.2
03/07/2018,03:00:00,10.9
03/07/2018,04:00:00,18.5
03/07/2018,05:00:00,26.1
03/07/2018,06:00:00,26.8
03/07/2018,07:00:00,26.7
03/07/2018,08:00:00,23.7
03/07/2018,09:00:00,24.9
03/07/2018,10:00:00,15.7
03/07/2018,11:00:00,28.8
03/07/2018,12:00:00,16.6
03/07/2018,13:00:00,25.4
03/07/2018,14:00:00,22
03/07/2018,15:00:00,17.3
03/07/2018,16:00:00,27.2
03/07/2018,17:00:00,32.9
03/07/2018,18:00:00,28.9
03/07/2018,19:00:00,29.3
03/07/2018,20:00:00,32.2
03/07/2018,21:00:00,27.8
03/07/2018,22:00:00,20.7
03/07/2018,23:00:00,18.6
03/07/2018,00:00:00,28
04/07/2018,01:00:00,18.8
04/07/2018,02:00:00,19.9
04/07/2018,03:00:00,19.1
04/07/2018,04:00:00,14.6
04/07/2018,05:00:00,24
04/07/2018,06:00:00,27.3
04/07/2018,07:00:00,30.2
04/07/2018,08:00:00,32.7
04/07/2018,09:00:00,22.1
04/07/2018,10:00:00,23.6
04/07/2018,11:00:00,24.3
04/07/2018,12:00:00,25.3
04/07/2018,13:00:00,33.6
04/07/2018,14:00:00,32.5
04/07/2018,15:00:00,34
04/07/2018,16:00:00,31.5
04/07/2018,17:00:00,26.9
04/07/2018,18:00:00,30.9
04/07/2018,19:00:00,24.2
04/07/2018,20:00:00,22.3
04/07/2018,21:00:00,11.1
04/07/2018,22:00:00,0
04/07/2018,23:00:00,28.2
04/07/2018,00:00:00,24.5
05/07/2018,01:00:00,31.5
05/07/2018,02:00:00,30.6
05/07/2018,03:00:00,24
05/07/2018,04:00:00,28.2
05/07/2018,05:00:00,35.5
05/07/2018,06:00:00,35.2
05/07/2018,07:00:00,32.7
05/07/2018,08:00:00,15.1
05/07/2018,09:00:00,22.6
05/07/2018,10:00:00,25.5
05/07/2018,11:00:00,36.8
05/07/2018,12:00:00,20.3
05/07/2018,13:00:00,41.4
05/07/2018,14:00:00,28.9
05/07/2018,15:00:00,34.8
05/07/2018,16:00:00,32.4
05/07/2018,17:00:00,33.6
05/07/2018,18:00:00,27.9
05/07/2018,19:00:00,15.1
